"Friday, December 5, 2025",The VANZ ROXX,"Swiftys Bar, Meir",9pm,ROCK,,
"Saturday, December 6, 2025",Ant Clowes Duo,"The Shamrock, Macclesfield",10pm,Acoustic Bangers,www.antclowesmusicduo.co.uk,
"Saturday, December 6, 2025",Bone China,"Swan Inn, ST15 8QW",9pm,Covers band,,
"Saturday, December 6, 2025",C&C DUO ,"The Cornerpin, Longton",9pm,"Rock,  Pop & Indie ",,
"Saturday, December 6, 2025",Circa 81,"Redgate, Clayton",8pm,,,
"Saturday, December 6, 2025",Craig Harrison ,Oggy's Bar. Hanley ,9pm,Icons and Anthems show ,,
"Saturday, December 6, 2025",Crosshair,"The Green Star, Smallthorne",9pm,Hard Rock,https://www.facebook.com/events/558551360632620/,
"Saturday, December 6, 2025",Never Sold Owt,"The Shed, Maybank",9pm,"Rock, Pop & Indie covers",,
"Saturday, December 6, 2025",Recall Duo,Cheshire Cheese Hanley,9pm,Rock Pop Motown Country,,
"Saturday, December 6, 2025",Regan Webb,Moorland Inn,8 30pm,Indie,,
"Saturday, December 6, 2025",Tourniquet ,"The Prince Of Wales, Congleton ",9pm,Rock Covers,,
"Saturday, December 6, 2025",Under the Influence ,Old sal saxonfields longton ,9pm,,,
"Sunday, December 7, 2025",Silas Crow,Ye Olde Crown Burslem St6 4aw ,6.30pm,70s 80s Classic Rock & Blues,,
"Tuesday, December 9, 2025",Nixon Tate (band) + Bob M,The Glebe Stoke,,,,
"Friday, December 12, 2025",Alimo,Moorland inn,8.30pm,Indie originals/covers,,
"Friday, December 12, 2025",Circa 81,"The Cornerpin, Longton",8pm,,,
"Friday, December 12, 2025",Danny Brab,"Sixtowns, Wedgwood",7:30pm,"Indie, Britpop and US alternative scene ",,
"Friday, December 12, 2025",Sac n Craic ,Swiftys Meir ,9pm,Folk ,,
"Saturday, December 13, 2025",Bone China,"The Congress Inn, ST3 1HJ",9pm,Covers band,,
"Saturday, December 13, 2025",Circa 81,"The Roebuck, Forsbrook",8pm,,,
"Saturday, December 13, 2025",Craig Harrison ,"The Albert, Bilton Street, Stoke ",8.30pm ,Icons and Anthems show ,,
"Saturday, December 13, 2025",Danny Brab,"Bakers Arms, Cheadle ",7:30pm,"Indie, Britpop and US alternative ",,
"Saturday, December 13, 2025",Danny Brab,"Bakers Arms, Cheadle ",7:30pm,"Indie, Britpop and US alternative scene ",,
"Saturday, December 13, 2025",Double Lively,Moorland Inn,8.30pm,Indie,,
"Saturday, December 13, 2025",Fools' Messiah,"The Old Bulldog, Anchor Rd, Longton.",9pm,Rock covers with a difference!,,
